DateTime,Parameter A,Parameter B,Parameter C,Parameter D,Parameter E,Parameter F,Parameter G
1625830486,1.36,0.62,-0.7,6.2,-1.01,-0.31,5.38
1625830487,1.52,0.8,-0.21,6.2,0.2,-0.6,5.12
1625830488,2.01,0.42,0.93,6.2,0.88,0.45,5.17
1625830489,2.41,-0.1,3.03,6.22,1.87,-1.35,5.52
1625830490,1.77,-1.06,4.33,6.15,2.4,-2.27,5.2
1625830491,1.56,-2,4.52,6.18,2.18,-3.31,5.13
1625830492,1.25,-2.81,4.43,6.07,2.02,-2.43,3.15
1625830493,0.48,-3.66,3.74,6.11,1.14,-3.25,2.43
1625830494,-0.45,-4.17,2.05,6.13,0.59,-2.28,-0.8
1625830495,-1.28,-4.42,0.44,6.12,-0.43,-1.48,-1.98
1625830496,-1.5,-4.04,0.11,6.1,-0.16,-0.97,-2.15
1625830497,-1.77,-3.66,0.13,6.09,-0.44,-4,-1.09
1625830498,-2.62,-2.73,0.17,6.07,-0.17,-4.11,-0.36
1625830499,-2.9,-1.53,-0.55,6.14,-1.86,-2.51,-0.35
1625830500,-1.7,-0.57,-0.98,6.1,-1.46,-1.85,-1.37
1625830501,0.08,0,-1.89,6.12,-3.39,0.8,-2.04
1625830502,1.08,0.43,-2.31,6.16,-3.36,1.8,-2.42
1625830503,1.3,0.24,-2.65,6.13,-3.4,0.9,-2.72
1625830504,1.31,0,-2.75,6.16,-3.63,-1.75,-1.34
1625830505,1.58,-0.59,-3.08,6.17,-3.08,-1.82,-0.75
1625830506,1.65,-1.82,-3.61,6.18,-3.4,-3.85,-0.53
1625830507,1.78,-2.51,-3.43,6.22,-3.24,-2.72,-0.12
1625830508,1.56,-3.37,-3.16,6.19,-4.15,-1.26,-0.97
1625830509,1.14,-4.15,-2.64,6.18,-3.33,0.04,-0.21
1625830510,0.28,-4.55,-2.03,6.23,-2.71,-1.93,0.53
1625830511,-0.54,-4.73,-1.23,6.18,-1.81,-0.51,1.25
1625830512,-0.41,-4.63,-1.09,6.16,-1.46,-1.15,2.03
1625830513,-0.01,-4.37,-0.44,6.16,1.35,-2.27,2.78
1625830514,-0.25,-4.15,1.36,6.13,2.49,-1.03,6.35
1625830515,-0.63,-3.8,3.32,6.13,3.5,-0.1,6.64
1625830516,-1.22,-3.34,4.4,4.81,3.91,0.45,6.86
1625830517,-1.74,-2.86,4.64,2.5,4.28,-0.33,6.05
1625830518,-2.56,-2.23,5.62,1.54,4.45,-3.06,6.01
1625830519,-3.52,-1.58,5.5,0.42,4.69,-3.99,5.37
1625830520,-4.22,-0.95,5.15,0.28,4.01,-4.62,3.6
1625830521,-4.42,-0.34,4.73,-1.1,3.93,-3.57,2.23
1625830522,-4.1,0.08,3.55,-2.66,3.45,-1.08,-0.42
1625830523,-3.48,0.87,1.59,-4.08,2.68,-0.1,-1.11
1625830524,-2.46,0.83,0.05,-4.3,2.14,-0.48,-1.92
1625830525,-1.37,0.84,-1.41,-4.65,1.62,-0.64,-2.63
1625830526,-0.38,0.45,-2.64,-4.73,0.72,-2.42,-3.57
1625830527,0.12,-0.25,-3.76,-4.88,-0.81,-2.73,-4.38
1625830528,0.31,-0.97,-4.83,-4.91,-2.21,-1.6,-5.31
1625830529,1.19,-1.71,-5.2,-5.05,-4.82,-2.59,-5.87
1625830530,2.48,-2.79,-5.03,-5.48,-4.08,-0.93,-5.17
1625830531,4,-3.36,-4.49,-5.47,-5.41,0.59,-4.01
1625830532,4.71,-3.87,-2.66,-5.44,-6.08,0.75,-3.35
1625830533,4.93,-4.38,-1.61,-5.45,-6.96,0.54,-2.6
1625830534,4.42,-4.88,-0.98,-3.62,-8.38,-0.59,-3.52
1625830535,3.63,-5.21,-1.07,0.48,-9.34,-2.91,-3.36
1625830536,2.12,-5.33,-1.26,4.95,-9.28,-4.92,-4.06
1625830537,-0.39,-5.22,-2.23,7.53,-7.39,-4.74,-0.85
1625830538,-2.67,-4.68,-2.81,9.31,-5.93,-3.8,0.56
1625830539,-4.49,-3.92,-3.3,10.19,-3.45,-0.08,2.68
1625830540,-5.34,-3.05,-3.04,10.82,-2.9,1.92,3.13
